feature,mean_abs_shap
categorical__diag_1_79,0.0
categorical__diag_1_789,0.0
categorical__diag_1_788,0.0
categorical__diag_1_785,0.0
categorical__diag_1_784,0.0
categorical__diag_1_783,0.0
categorical__diag_1_782,0.0
categorical__diag_1_781,0.0
categorical__diag_1_78,0.0
categorical__diag_1_759,0.0
categorical__diag_1_756,0.0
categorical__diag_1_810,0.0
categorical__diag_1_808,0.0
categorical__diag_1_807,0.0
categorical__diag_1_806,0.0
categorical__diag_1_805,0.0
categorical__diag_1_804,0.0
categorical__diag_1_803,0.0
categorical__diag_1_802,0.0
categorical__diag_1_801,0.0
categorical__diag_1_800,0.0
categorical__diag_1_8,0.0
categorical__diag_1_799,0.0
categorical__diag_1_797,0.0
categorical__diag_1_796,0.0
categorical__diag_1_795,0.0
categorical__diag_1_794,0.0
categorical__diag_1_831,0.0
categorical__diag_1_827,0.0
categorical__diag_1_826,0.0
categorical__diag_1_825,0.0
categorical__diag_1_824,0.0
categorical__diag_1_823,0.0
categorical__diag_1_822,0.0
categorical__diag_1_821,0.0
categorical__diag_1_820,0.0
categorical__diag_1_82,0.0
categorical__diag_1_817,0.0
categorical__diag_1_816,0.0
categorical__diag_1_815,0.0
categorical__diag_1_814,0.0
categorical__diag_1_813,0.0
categorical__diag_1_812,0.0
categorical__diag_1_850,0.0
categorical__diag_1_848,0.0
categorical__diag_1_847,0.0
categorical__diag_1_846,0.0
categorical__diag_1_845,0.0
categorical__diag_1_844,0.0
categorical__diag_1_843,0.0
categorical__diag_1_842,0.0
categorical__diag_1_840,0.0
categorical__diag_1_84,0.0
categorical__diag_1_839,0.0
categorical__diag_1_838,0.0
categorical__diag_1_837,0.0
categorical__diag_1_836,0.0
categorical__diag_1_835,0.0
categorical__diag_1_832,0.0
categorical__diag_1_873,0.0
categorical__diag_1_871,0.0
categorical__diag_1_870,0.0
categorical__diag_1_868,0.0
categorical__diag_1_867,0.0
categorical__diag_1_866,0.0
categorical__diag_1_865,0.0
categorical__diag_1_864,0.0
categorical__diag_1_863,0.0
categorical__diag_1_862,0.0
categorical__diag_1_861,0.0
categorical__diag_1_860,0.0
categorical__diag_1_854,0.0
categorical__diag_1_853,0.0
categorical__diag_1_852,0.0
categorical__diag_1_851,0.0
